year_gregorian,year_hijri,region,stage,authority,school_gender,principals,teachers,administrators,classes,students,schools,student_teacher_ratio,students_per_class,students_per_school
2025,1446,Qassim,Kindergarten,Public,Girls,51,873,649,711,14604,274,16.72852233676976,20.54008438818565,53.2992700729927
2025,1446,Qassim,Kindergarten,Private,Girls,27,284,71,256,3434,59,12.091549295774648,13.4140625,58.20338983050848
2025,1446,Qassim,Kindergarten,International,Girls,6,127,17,91,1352,22,10.645669291338583,14.857142857142858,61.45454545454545
2025,1446,Qassim,Primary,Public,Girls,405,8155,2458,4656,97376,469,11.940649908031885,20.91408934707904,207.62473347547976
2025,1446,Qassim,Primary,Public,Boys,210,5860,723,2223,44168,272,7.537201365187713,19.86864597390913,162.38235294117646
2025,1446,Qassim,Primary,Private,Girls,30,435,30,315,3393,39,7.8,10.771428571428572,87.0
2025,1446,Qassim,Primary,Private,Boys,13,319,4,205,3112,20,9.755485893416928,15.180487804878048,155.6
2025,1446,Qassim,Primary,International,Girls,8,267,30,176,2818,23,10.55430711610487,16.011363636363637,122.52173913043478
2025,1446,Qassim,Primary,International,Boys,7,142,17,108,1994,16,14.04225352112676,18.46296296296296,124.625
2025,1446,Qassim,Middle,Public,Girls,136,3243,926,1387,35757,213,11.025901942645698,25.780100937274693,167.8732394366197
2025,1446,Qassim,Middle,Public,Boys,135,3624,466,1511,36110,205,9.964128035320089,23.898080741230974,176.14634146341464
2025,1446,Qassim,Middle,Private,Girls,4,87,13,58,757,17,8.701149425287356,13.051724137931034,44.52941176470589
2025,1446,Qassim,Middle,Private,Boys,7,133,1,82,1268,20,9.533834586466163,15.46341463414634,63.4
2025,1446,Qassim,Middle,International,Girls,2,60,9,53,827,17,13.783333333333331,15.60377358490566,48.64705882352941
2025,1446,Qassim,Middle,International,Boys,2,70,5,59,882,15,12.6,14.94915254237288,58.8
2025,1446,Qassim,Secondary,Public,Girls,131,3820,447,1216,33270,158,8.709424083769633,27.36019736842105,210.56962025316452
2025,1446,Qassim,Secondary,Public,Boys,111,3427,222,1302,32497,127,9.482637875693026,24.959293394777266,255.88188976377955
2025,1446,Qassim,Secondary,Private,Girls,5,138,12,111,2572,20,18.63768115942029,23.17117117117117,128.6
2025,1446,Qassim,Secondary,Private,Boys,7,228,6,170,4372,19,19.17543859649123,25.71764705882353,230.10526315789477
2025,1446,Qassim,Secondary,International,Girls,2,14,2,19,247,7,17.642857142857142,13.0,35.285714285714285
2025,1446,Qassim,Secondary,International,Boys,1,12,2,18,292,7,24.33333333333333,16.22222222222222,41.71428571428572
2025,1446,Riyadh,Kindergarten,Public,Girls,261,4250,2346,2380,49878,750,11.736,20.957142857142856,66.504
2025,1446,Riyadh,Kindergarten,Private,Girls,178,2663,581,2189,33202,370,12.467893353360871,15.167656464138876,89.73513513513514
2025,1446,Riyadh,Kindergarten,International,Girls,63,2124,416,2046,29411,289,13.8469868173258,14.37487781036168,101.7681660899654
2025,1446,Riyadh,Primary,Public,Girls,1022,25166,11049,14432,372200,1137,14.789795756178972,25.78991130820399,327.35268249780125
2025,1446,Riyadh,Primary,Public,Boys,661,15207,2219,7592,194037,758,12.75971592029986,25.55808746048472,255.98548812664907
2025,1446,Riyadh,Primary,Private,Girls,137,5698,701,3827,61898,304,10.863109863109862,16.1740266527306,203.61184210526315
2025,1446,Riyadh,Primary,Private,Boys,110,4282,170,2877,53590,206,12.515179822512843,18.627042057698997,260.1456310679612
2025,1446,Riyadh,Primary,International,Girls,86,5698,686,4781,89168,287,15.648999648999649,18.65049152896884,310.68989547038325
2025,1446,Riyadh,Primary,International,Boys,32,2075,194,1663,32235,170,15.534939759036144,19.38364401683704,189.61764705882356
2025,1446,Riyadh,Middle,Public,Girls,426,10716,4569,4896,147020,580,13.71967151922359,30.02859477124183,253.48275862068965
2025,1446,Riyadh,Middle,Public,Boys,385,9995,1138,4828,142249,537,14.232016008004004,29.463338856669427,264.8957169459963
2025,1446,Riyadh,Middle,Private,Girls,44,1658,261,1033,19972,179,12.04583835946924,19.33397870280736,111.5754189944134
2025,1446,Riyadh,Middle,Private,Boys,75,2293,105,1521,30778,201,13.422590492804186,20.2353714661407,153.12437810945275
2025,1446,Riyadh,Middle,International,Girls,27,1350,160,972,17471,195,12.941481481481482,17.974279835390945,89.59487179487179
2025,1446,Riyadh,Middle,International,Boys,21,1226,127,1198,24731,168,20.1721044045677,20.64357262103506,147.20833333333334
2025,1446,Riyadh,Secondary,Public,Girls,342,11023,2482,4135,134199,426,12.174453415585594,32.45441354292624,315.0211267605634
2025,1446,Riyadh,Secondary,Public,Boys,283,8820,446,3687,119297,328,13.525736961451248,32.35611608353675,363.7103658536585
2025,1446,Riyadh,Secondary,Private,Girls,67,2271,354,1636,34311,164,15.108322324966975,20.97249388753056,209.21341463414635
2025,1446,Riyadh,Secondary,Private,Boys,93,3017,118,2284,52954,186,17.551872721246273,23.18476357267951,284.6989247311828
2025,1446,Riyadh,Secondary,International,Girls,28,986,129,594,10150,120,10.294117647058824,17.087542087542086,84.58333333333333
2025,1446,Riyadh,Secondary,International,Boys,19,998,110,830,17202,125,17.236472945891784,20.72530120481928,137.616
2025,1446,Tabuk,Kindergarten,Public,Girls,34,329,447,291,7606,87,23.11854103343465,26.13745704467354,87.42528735632185
2025,1446,Tabuk,Kindergarten,Private,Girls,25,179,58,166,2887,35,16.12849162011173,17.39156626506024,82.48571428571428
2025,1446,Tabuk,Kindergarten,International,Girls,4,87,10,83,1322,15,15.195402298850574,15.927710843373497,88.13333333333334
2025,1446,Tabuk,Primary,Public,Girls,177,3829,1633,2351,60245,207,15.733873073909637,25.625265844321564,291.03864734299515
2025,1446,Tabuk,Primary,Public,Boys,136,2854,140,1554,39223,166,13.743167484232655,25.24002574002574,236.28313253012047
2025,1446,Tabuk,Primary,Private,Girls,9,450,53,289,4165,23,9.255555555555556,14.411764705882351,181.08695652173915
2025,1446,Tabuk,Primary,Private,Boys,12,432,15,258,5110,18,11.828703703703704,19.8062015503876,283.8888888888889
2025,1446,Tabuk,Primary,International,Girls,6,213,18,158,2810,13,13.192488262910798,17.78481012658228,216.15384615384616
2025,1446,Tabuk,Primary,International,Boys,2,64,7,67,1345,10,21.015625,20.074626865671643,134.5
2025,1446,Tabuk,Middle,Public,Girls,81,1858,699,883,24208,127,13.029063509149625,27.41562853907135,190.6141732283465
2025,1446,Tabuk,Middle,Public,Boys,74,1525,68,822,22842,125,14.978360655737704,27.78832116788321,182.736
2025,1446,Tabuk,Middle,Private,Girls,7,99,15,63,1263,12,12.757575757575758,20.047619047619047,105.25
2025,1446,Tabuk,Middle,Private,Boys,11,253,8,143,3328,17,13.15415019762846,23.272727272727277,195.76470588235293
2025,1446,Tabuk,Middle,International,Girls,1,30,3,18,267,7,8.9,14.833333333333334,38.142857142857146
2025,1446,Tabuk,Middle,International,Boys,1,33,5,35,494,10,14.969696969696969,14.114285714285714,49.4
2025,1446,Tabuk,Secondary,Public,Girls,68,1736,254,666,20870,80,12.021889400921658,31.336336336336338,260.875
2025,1446,Tabuk,Secondary,Public,Boys,56,1267,23,580,18157,69,14.330702446724546,31.305172413793105,263.1449275362319
2025,1446,Tabuk,Secondary,Private,Girls,5,197,24,124,3422,11,17.370558375634516,27.596774193548388,311.09090909090907
2025,1446,Tabuk,Secondary,Private,Boys,7,381,14,229,6504,14,17.070866141732285,28.40174672489083,464.57142857142856
